pool,card_id,name,card_class,set,type,cost,attack,health_or_durability,races,mechanics,text,status
dragon,CATA_111,Darkscale Broodmother,NEUTRAL,CATACLYSM,MINION,3,4,3,DRAGON,BATTLECRY,"<b>Battlecry:</b> If you're holding a Dragon, refresh 2 Mana Crystals.",generated_supported
dragon,CATA_476,Bronze Keeper,NEUTRAL,CATACLYSM,MINION,8,3,7,DRAGON,TRIGGER_VISUAL,"[x]At the end of your turn, summon a 6/6 Elemental Dragon with <b>Divine Shield</b>.",generated_supported
dragon,CATA_556,Carrier Whelp,NEUTRAL,CATACLYSM,MINION,1,1,2,DRAGON,BATTLECRY,<b>Battlecry:</b> Get a random Dragon that costs (3) or less.,direct_supported
dragon,CATA_614,Shadowed Informant,NEUTRAL,CATACLYSM,MINION,2,2,2,DRAGON,"BATTLECRY,DISCOVER",[x]<b>Battlecry:</b> <b>Discover</b> a spell from your class. <i>(Swaps class each turn!)</i>,needs_rule
dragon,CATA_723,Drakeadon Mongrel,NEUTRAL,CATACLYSM,MINION,7,8,6,DRAGON,DEATHRATTLE,<b>Deathrattle:</b> Summon two random 4-Cost minions.,needs_rule
dragon,CATA_898,Scaled Lancer,NEUTRAL,CATACLYSM,MINION,4,6,6,DRAGON,AURA,All enemy minions have <b>Taunt</b>.,generated_supported
dragon,CATA_999,Earthen Drake,NEUTRAL,CATACLYSM,MINION,5,4,4,"DRAGON,ELEMENTAL",TRIGGER_VISUAL,"At the end of your turn, deal 4 damage to the enemy hero.",generated_supported
dragon,CORE_AT_123,Chillmaw,NEUTRAL,CORE,MINION,7,6,6,"DRAGON,UNDEAD","DEATHRATTLE,TAUNT","[x]<b>Taunt</b> <b>Deathrattle:</b> If you're holding a Dragon, deal 3 damage to all minions.",generated_supported
dragon,CORE_DRG_079,Evasive Wyrm,NEUTRAL,CORE,MINION,6,5,4,DRAGON,"DIVINE_SHIELD,ELUSIVE,RUSH",<b>Rush</b> <b>Divine Shield</b> <b>Elusive</b>,generated_supported
dragon,CORE_EX1_043,Twilight Drake,NEUTRAL,CORE,MINION,4,4,1,DRAGON,BATTLECRY,<b>Battlecry:</b> Gain +1 Health for each card in your hand.,generated_supported
dragon,CORE_EX1_189,Brightwing,NEUTRAL,CORE,MINION,2,3,2,DRAGON,BATTLECRY,<b>Battlecry:</b> Add a random <b>Legendary</b> minion to your hand.,needs_rule
