card_id,dbf_id,name,set,class,type,collectible,mechanics,text,text_sha256,implementation,playable_ready,verification
CAP_000,127011,SI:7 Slayer,ESCAPEFROM_VIOLET_HOLD,ROGUE,MINION,True,"STEALTH,TRIGGER_VISUAL","Stealth. Whenever a friendly Stealthed minion attacks, give it +2/+2.",8a76687f8e8a1137602757833c125ea52899e10019706ecdcb1ad9611f3f4e76,not_implemented,False,missing
CAP_000e,132827,Slayer,ESCAPEFROM_VIOLET_HOLD,ROGUE,ENCHANTMENT,False,,+2/+2.,6496ac6ee3bdc68621e62fed137957624c2b0bd825dd961051f0d8c2f5e4eb44,not_implemented,False,missing
CAP_001,127028,Silent Strike,ESCAPEFROM_VIOLET_HOLD,ROGUE,SPELL,True,,"Give a minion +3 Attack. If it's Stealthed, deal its Attack damage to a random enemy minion.",8cb685e2f56eb3b153f13d8485b8b5b52584d8068541be9baf13d2065f32d8c4,not_implemented,False,missing
CAP_001e,127029,Silent,ESCAPEFROM_VIOLET_HOLD,ROGUE,ENCHANTMENT,False,,+3 Attack.,9ff6ca718148527a960800a10bab5d2aff98ca656a0f9545a47002e4188f2dd2,not_implemented,False,missing
CAP_002,127041,Follow the Footsteps,ESCAPEFROM_VIOLET_HOLD,ROGUE,SPELL,True,DISCOVER,Discover a Stealth minion. Give it this effect for a turn.,6ce9a595b295b3e638818a4fb810ea278c4f1fabc7c939ae4848f1554345a2c1,not_implemented,False,missing
CAP_002e,127043,Following the Footsteps,ESCAPEFROM_VIOLET_HOLD,ROGUE,ENCHANTMENT,False,"ENCHANTMENT_INVISIBLE,TAG_ONE_TURN_EFFECT","After you play the card, Discover a Stealth minion and give it this effect",8d949491f1cd93c5f8600e346d8094c835192ca29009886bb4849ad913a59b6f,not_implemented,False,missing
CAP_003,127054,SI:7 Supplier,ESCAPEFROM_VIOLET_HOLD,ROGUE,MINION,True,"STEALTH,TRIGGER_VISUAL","Stealth After this attacks, draw a card.",d5d0b82c18e92988f17512831cb8ff44d107ea1abc280585edd47fbc677fd300,not_implemented,False,missing
CAP_004,127055,Disguised Operator,ESCAPEFROM_VIOLET_HOLD,ROGUE,MINION,True,"DEATHRATTLE,RUSH",Can be played on either side. Rush. Deathrattle: Your opponent draws 2 cards.,d0bc0d4edba74aef6034111a8eaa7841f90b58d62c7b8a54bd58ad3c604c1d17,declarative,True,focused_or_regression_tests
CAP_004a,130030,Detected!,ESCAPEFROM_VIOLET_HOLD,ROGUE,SPELL,False,,This was played on the friendly side.,87374bd3fcfdc7c22785183298a64aa1dc8a1fa91748e5a866b0551e692deca9,not_implemented,False,missing
CAP_004b,130031,Disguised!,ESCAPEFROM_VIOLET_HOLD,ROGUE,SPELL,False,,This was played on the enemy side.,5104416a69fc5614dc54f6a2ccaeb9777dc8d0fbc5d0d0bf033dc647b66de370,not_implemented,False,missing
CAP_005,127056,Mathias Shaw,ESCAPEFROM_VIOLET_HOLD,ROGUE,MINION,True,"STEALTH,TRIGGER_VISUAL","Stealth. Whenever a friendly Stealthed minion attacks, reduce the Cost of a random card in your hand by (3).",903c1893a2a8a5bc6ce8fd28f8ddb17446e23a83e5e51b726a6e60d8f428886c,not_implemented,False,missing
CAP_005e4,132832,Stealth 100,ESCAPEFROM_VIOLET_HOLD,ROGUE,ENCHANTMENT,False,,Costs (3) less.,6caafdd3cbb501bd0d8b0de246f1f80df4d752f4fa8c5044bc1d2b8fc9d200e6,not_implemented,False,missing
CAP_006,127073,Tricks of the Trade,ESCAPEFROM_VIOLET_HOLD,ROGUE,SPELL,True,,"Deal $1 damage. If a Stealthed minion attacked while holding this, deal $3 instead.",d87e9a254a3110fde90f18c5906524c8494fa5ba8cf579e700369bbc2cf320cc,not_implemented,False,missing
CAP_101,127013,Follow the Fuse,ESCAPEFROM_VIOLET_HOLD,WARRIOR,SPELL,True,,Deal $2 damage to a random enemy. Give a playable Pirate in your hand this effect for a turn.,03e350989a0eaddaca77e9c477acffc6a51c7b6277db00693301253fcc03d92e,not_implemented,False,missing
CAP_101e,127035,Following the Fuse,ESCAPEFROM_VIOLET_HOLD,WARRIOR,ENCHANTMENT,False,"ENCHANTMENT_INVISIBLE,TAG_ONE_TURN_EFFECT","When played, deal $2 damage to a random enemy. Give a playable Pirate in your hand this effect for a turn.",28238f06d2a7d0a7fb08cf6f98e33ebcb6ab9166507aeec1087dc28d24a96568,not_implemented,False,missing
CAP_101e2,134688,Following the X Player Enchant,ESCAPEFROM_VIOLET_HOLD,NEUTRAL,ENCHANTMENT,False,TAG_ONE_TURN_EFFECT,Player enchant for the Follow the X series of cards,491daa73937bdd1e783497fa5367951f219f0ac2d60b0813db99483846f85614,not_implemented,False,missing
CAP_102,127014,Land Ho!,ESCAPEFROM_VIOLET_HOLD,WARRIOR,SPELL,True,,Draw 2 cards. Summon two 1/1 Cannoneers.,35dc9c80adbc4dce1b8bd48f979a53b88c5606fad409d8040be6b27bd3790053,not_implemented,False,missing
CAP_103,127015,Hand Cannon,ESCAPEFROM_VIOLET_HOLD,WARRIOR,WEAPON,True,TRIGGER_VISUAL,"After your hero attacks, your Cannoneers FIRE!",a1e5ad0bfe91068c8aa958217c6be8d76bc851e6b382ae0ed39f33deeeae0c77,not_implemented,False,missing
CAP_104,127016,Blastpowder Engineer,ESCAPEFROM_VIOLET_HOLD,WARRIOR,MINION,True,AURA,"On your turn, friendly Pirates deal 1 more damage.",73b565a3c96692b0a23d741729cc668330fb551b815def8650a5777a09f5312f,legacy_compatibility,True,focused_or_regression_tests
CAP_105,127017,Hook n' Heave,ESCAPEFROM_VIOLET_HOLD,WARRIOR,SPELL,True,DISCOVER,Discover a Pirate. Summon two 1/1 Cannoneers.,c0b9f7a590f444e12f97550eca2842b6b015b265007f1fb222fdf18cf600a04b,legacy_compatibility,True,focused_or_regression_tests
CAP_105t,127018,Cutlass Cutthroat,ESCAPEFROM_VIOLET_HOLD,WARRIOR,MINION,False,RUSH,Rush,34ebcd9fcba8b65689b051c3005a425f2d253adfaf42ff0f9cf99487762df7de,not_implemented,False,missing
CAP_106,127019,Captain Crowley,ESCAPEFROM_VIOLET_HOLD,WARRIOR,MINION,True,"AURA,BATTLECRY",Your Cannoneers fire an additional shot. Battlecry: Summon two 1/1 Cannoneers.,48d2619df59b83366d2754dcb2a6956800cf12183f310c4a65e4d39c095f69a2,declarative,True,focused_or_regression_tests
CAP_106e,132269,Bombardment,ESCAPEFROM_VIOLET_HOLD,NEUTRAL,ENCHANTMENT,False,,Your Cannoneers fire an additional shot.,2b84068b4c2e395ccdab9f2c7dd20eecd27823b138d9335496ddcec8e1d95bc2,not_implemented,False,missing
CAP_107,127099,Cannonmaster,ESCAPEFROM_VIOLET_HOLD,WARRIOR,MINION,True,BATTLECRY,Battlecry: Get a 1/1 Cannoneer that deals 1 damage to a random enemy at end of turn.,61d674a27e8c052e05e36491e41abc46d486ba0ff5e0297d1b2802946e91a592,declarative,True,focused_or_regression_tests
CAP_107t,127012,Cannoneer,ESCAPEFROM_VIOLET_HOLD,WARRIOR,MINION,False,TRIGGER_VISUAL,"At the end of your turn, deal 1 damage to a random enemy.",4280fa791e98115f020e554a506f43603e99e181c4fa09d0587240e516a6bf9e,legacy_compatibility,True,focused_or_regression_tests
CAP_400,127033,Kabal Conspirator,ESCAPEFROM_VIOLET_HOLD,WARLOCK,MINION,True,DEATHRATTLE,Deathrattle: Put two 3/3 Imp-formants into the enemy deck. They summon for YOU when drawn.,ed3e4ab32ebe4699149bebe07b47f18c5f27e1647907e781f8f5aef08a618e85,not_implemented,False,missing
CAP_400t2t,127024,Imp-formant,ESCAPEFROM_VIOLET_HOLD,WARLOCK,MINION,False,LIFESTEAL,Lifesteal Summoned When Drawn (for your opponent),3572e0c6a7e924cffc1a2b72539114967890e4b7d37676a03b3b5c7e947fc47a,legacy_compatibility,True,focused_or_regression_tests
CAP_401,127037,Corrupt Constable,ESCAPEFROM_VIOLET_HOLD,WARLOCK,MINION,True,BATTLECRY,"Battlecry: If the enemy deck has any Imp-formants, move one to the top and give it +2/+2.",e47a5b0c738cd135747dc90138927c20856794a98879488dca7350486af917a4,not_implemented,False,missing
CAP_401e,127039,Tipped Off,ESCAPEFROM_VIOLET_HOLD,NEUTRAL,ENCHANTMENT,False,,+2/+2.,6496ac6ee3bdc68621e62fed137957624c2b0bd825dd961051f0d8c2f5e4eb44,not_implemented,False,missing
CAP_402,127051,Follow the Evidence,ESCAPEFROM_VIOLET_HOLD,WARLOCK,SPELL,True,,Put a 3/3 Imp-formant into the enemy deck. Give a playable card in your hand this effect for a turn.,275cb4bd5d9a260e638a8552d96f04ea35abbb969b1d6ca422973e231c12e69f,not_implemented,False,missing
CAP_402e,127052,Following the Evidence,ESCAPEFROM_VIOLET_HOLD,WARLOCK,ENCHANTMENT,False,"ENCHANTMENT_INVISIBLE,TAG_ONE_TURN_EFFECT",Shuffle a 3/3 Imp-formant into the enemy deck. Give a playable card in your hand this effect for a turn.,01df3efde6761075eae6639c2a485f03cc0f0d67ec6773a769692bca56fbfb76,not_implemented,False,missing
CAP_403,127057,Frame Job,ESCAPEFROM_VIOLET_HOLD,WARLOCK,SPELL,True,DISCOVER,Destroy two random enemy minions. Discover a minion in the enemy deck to put on top.,2ee5e61291fdf05e696873b18a126103fea362805524f8ae1ecb4383652171bf,not_implemented,False,missing
CAP_404,127058,Harsh Sentence,ESCAPEFROM_VIOLET_HOLD,WARLOCK,SPELL,True,,Enemy minions cost (2) more next turn. Put two 3/3 Imp-formants into the enemy deck.,3c3d1973e510a089fb0c688d5f9454757c254e8dd2db020eefa04c9b433f7b46,declarative,True,focused_or_regression_tests
CAP_404e,127059,Harshing My Vibe,ESCAPEFROM_VIOLET_HOLD,NEUTRAL,ENCHANTMENT,False,,Your minions cost (2) more this turn.,4d0a236cb7003b202767d7c673e081fd7feac88070762c95bd0fb4048bc9146d,not_implemented,False,missing
CAP_405,127067,Godfather Kazakus,ESCAPEFROM_VIOLET_HOLD,WARLOCK,MINION,True,BATTLECRY,Battlecry: Plot a custom sham trial! Then choose the trial's length.,6fcb606c50192e33d66f69b05125029cd6977f56f58ecc83b986a1d6cf42372f,not_implemented,False,missing
CAP_405t1,132837,Detained for Destruction,ESCAPEFROM_VIOLET_HOLD,WARLOCK,SPELL,False,,Force each minion to attack another minion.,f60b59d2dbf29ba143d514e3ff3511273fd7d1035ff6d1fbd5a7c4bdc02e7867,not_implemented,False,missing
CAP_405t2,132849,Convicted for Conspiracy,ESCAPEFROM_VIOLET_HOLD,WARLOCK,SPELL,False,,Take control of a random enemy minion.,154e4170aac6d84c7411a1a4f618dc40b3268214202696a7d19c4814a8f747d1,not_implemented,False,missing
CAP_405t3,132843,Sentenced for Smuggling,ESCAPEFROM_VIOLET_HOLD,WARLOCK,SPELL,False,,Steal 2 cards from your opponent's hand.,1dbeafe7a1e1ad2e998b6499d0bc15837f8142328f4fae73ae97fe7846d0efe4,not_implemented,False,missing
CAP_405t4,132838,Crate of Contraband,ESCAPEFROM_VIOLET_HOLD,WARLOCK,SPELL,False,,Draw 3 cards.,8619e16e844a591fbc178baf6c2f8c48866083de40c725208731b67d5dd8d28d,not_implemented,False,missing
CAP_405t5,132844,Spurious Shiv,ESCAPEFROM_VIOLET_HOLD,WARLOCK,SPELL,False,,Give minions in your hand and battlefield +3/+3.,24b1992132b824ac97fac43f9e57e74ccc7c5faa5f530e4b21ed58653508d6f2,not_implemented,False,missing
CAP_405t5e,132846,Dubious Daggers,ESCAPEFROM_VIOLET_HOLD,NEUTRAL,ENCHANTMENT,False,,+3/+3,0e3f723805a42a1530cff6f20875485a2b6ba6d5a66f1775ce79f3d339510917,not_implemented,False,missing
CAP_405t6,132850,Criminal Contract,ESCAPEFROM_VIOLET_HOLD,WARLOCK,SPELL,False,,Summon three random 3-Cost minions.,5fc06e45df2bdb7636941fa4549dcce55b9c193d3fc33bd1a42a7e003e433854,not_implemented,False,missing
CAP_405t7,132851,Potion of Perjury,ESCAPEFROM_VIOLET_HOLD,WARLOCK,SPELL,False,,Reduce the Cost of minions in your hand by (2).,7afcf0fbd06fa97ce4868c78b869e2cf30de44d529c1392b5596180b557086d8,not_implemented,False,missing
CAP_405t7e,132855,Perjurer,ESCAPEFROM_VIOLET_HOLD,NEUTRAL,ENCHANTMENT,False,,Costs (2) less.,bcd95b4cd2985e2f0c305c5169941206c581bba81e2787cc566ffef3dcc8e018,not_implemented,False,missing
CAP_405t8,132856,Swill of Suggestibility,ESCAPEFROM_VIOLET_HOLD,WARLOCK,SPELL,False,,Restore #12 Health to your hero.,982374c3208ab1909198388d914154702a1c749755d622c20050b54991662130,not_implemented,False,missing
CAP_405t9,132848,Tonic of Tyranny,ESCAPEFROM_VIOLET_HOLD,WARLOCK,SPELL,False,,Summon a Voidlord.,05d2437e71c67935711272e9779239ffe90974da754838170bb801038b5db3c2,not_implemented,False,missing
CAP_405tb1,132829,Rushed Trial,ESCAPEFROM_VIOLET_HOLD,WARLOCK,SPELL,False,,{0} {1},10866a9df5f8be5be75c79314de01412b0b35db060b06fdc333c1d9cd82d73c0,not_implemented,False,missing
CAP_405tb1b,132873,Rushed Trial,ESCAPEFROM_VIOLET_HOLD,WARLOCK,SPELL,False,,The trial finishes immediately!,33638a9e81f46fc8072a6342e065274327c093cecdce9ff34f065488176e9907,not_implemented,False,missing
CAP_405tb2,132830,Grueling Trial,ESCAPEFROM_VIOLET_HOLD,WARLOCK,SPELL,False,,"In 1 turn, {0} {1}",0073e44c12a38c58120431c6658f9808374c30e790e9f2a76e57756c5e36614c,not_implemented,False,missing
CAP_405tb2b,132874,Grueling Trial,ESCAPEFROM_VIOLET_HOLD,WARLOCK,SPELL,False,,The trial finishes at the start of your next turn.,81a749bcedaeef3ba06c6c23c5aeb82b9671220e695543e403bbc770ac0776e2,not_implemented,False,missing
CAP_405tb3,132831,Unending Trial,ESCAPEFROM_VIOLET_HOLD,WARLOCK,SPELL,False,,"In 4 turns, {0} {1}",17c48ce52fe58085904d4632da5270a4fab2c9e6312c381954493142f88ccefc,not_implemented,False,missing
